ram usage, max ram, swap usage, max swap
920116 KB, 1968580 KB, 838580 KB, 2191356 KB
920112 KB, 1968580 KB, 838580 KB, 2191356 KB
920112 KB, 1968580 KB, 838580 KB, 2191356 KB
920112 KB, 1968580 KB, 838580 KB, 2191356 KB
920104 KB, 1968580 KB, 838580 KB, 2191356 KB
943792 KB, 1968580 KB, 838580 KB, 2191356 KB
998728 KB, 1968580 KB, 838580 KB, 2191356 KB
1054672 KB, 1968580 KB, 838580 KB, 2191356 KB
1110608 KB, 1968580 KB, 838580 KB, 2191356 KB
1166052 KB, 1968580 KB, 838580 KB, 2191356 KB
1217452 KB, 1968580 KB, 838580 KB, 2191356 KB
1287844 KB, 1968580 KB, 838324 KB, 2191356 KB
1343168 KB, 1968580 KB, 838324 KB, 2191356 KB
1394648 KB, 1968580 KB, 838324 KB, 2191356 KB
1450552 KB, 1968580 KB, 838324 KB, 2191356 KB
1454556 KB, 1968580 KB, 874260 KB, 2191356 KB
1510908 KB, 1968580 KB, 874260 KB, 2191356 KB
1541960 KB, 1968580 KB, 915704 KB, 2191356 KB
1493652 KB, 1968580 KB, 985520 KB, 2191356 KB
1552200 KB, 1968580 KB, 985520 KB, 2191356 KB
1571684 KB, 1968580 KB, 1015804 KB, 2191356 KB
1599484 KB, 1968580 KB, 1032444 KB, 2191356 KB
1619724 KB, 1968580 KB, 1053436 KB, 2191356 KB
1579136 KB, 1968580 KB, 1105884 KB, 2191356 KB
1638552 KB, 1968580 KB, 1105628 KB, 2191356 KB
1621204 KB, 1968580 KB, 1164252 KB, 2191356 KB
1568504 KB, 1968580 KB, 1106880 KB, 2191356 KB
1594912 KB, 1968580 KB, 1089216 KB, 2191356 KB
1576708 KB, 1968580 KB, 1151160 KB, 2191356 KB
1606396 KB, 1968580 KB, 1178012 KB, 2191356 KB
1640092 KB, 1968580 KB, 1187484 KB, 2191356 KB
1656804 KB, 1968580 KB, 1219740 KB, 2191356 KB
1697388 KB, 1968580 KB, 1223324 KB, 2191356 KB
1734268 KB, 1968580 KB, 1230748 KB, 2191356 KB
1744960 KB, 1968580 KB, 1253788 KB, 2191356 KB
1757652 KB, 1968580 KB, 1278652 KB, 2191356 KB
1787860 KB, 1968580 KB, 1302036 KB, 2191356 KB
1805544 KB, 1968580 KB, 1341932 KB, 2191356 KB
1792392 KB, 1968580 KB, 1396004 KB, 2191356 KB
1772116 KB, 1968580 KB, 1462860 KB, 2191356 KB
1765300 KB, 1968580 KB, 1521740 KB, 2191356 KB
1786280 KB, 1968580 KB, 1554004 KB, 2191356 KB
1795548 KB, 1968580 KB, 1562708 KB, 2191356 KB
1760068 KB, 1968580 KB, 1611432 KB, 2191356 KB
1819204 KB, 1968580 KB, 1611432 KB, 2191356 KB
1797796 KB, 1968580 KB, 1677004 KB, 2191356 KB
1776288 KB, 1968580 KB, 1743720 KB, 2191356 KB
1766712 KB, 1968580 KB, 1804768 KB, 2191356 KB
1807616 KB, 1968580 KB, 1809488 KB, 2191356 KB
1785464 KB, 1968580 KB, 1872508 KB, 2191356 KB
1782048 KB, 1968580 KB, 1924296 KB, 2191356 KB
1766976 KB, 1968580 KB, 1985084 KB, 2191356 KB
1808312 KB, 1968580 KB, 1998240 KB, 2191356 KB
1807724 KB, 1968580 KB, 2049864 KB, 2191356 KB
1789772 KB, 1968580 KB, 2113676 KB, 2191356 KB
1772680 KB, 1968580 KB, 2178528 KB, 2191356 KB
1814872 KB, 1968580 KB, 2191356 KB, 2191356 KB
1849264 KB, 1968580 KB, 2191252 KB, 2191356 KB
1864376 KB, 1968580 KB, 1557132 KB, 2191356 KB
1215896 KB, 1968580 KB, 1513868 KB, 2191356 KB
1247900 KB, 1968580 KB, 1513868 KB, 2191356 KB
1278004 KB, 1968580 KB, 1513356 KB, 2191356 KB
1308612 KB, 1968580 KB, 1513356 KB, 2191356 KB
1340780 KB, 1968580 KB, 1510284 KB, 2191356 KB
1372196 KB, 1968580 KB, 1510284 KB, 2191356 KB
1402940 KB, 1968580 KB, 1510284 KB, 2191356 KB
1433684 KB, 1968580 KB, 1510284 KB, 2191356 KB
1469384 KB, 1968580 KB, 1502604 KB, 2191356 KB
1502340 KB, 1968580 KB, 1500556 KB, 2191356 KB
1534100 KB, 1968580 KB, 1500556 KB, 2191356 KB
1564844 KB, 1968580 KB, 1500556 KB, 2191356 KB
1595840 KB, 1968580 KB, 1500556 KB, 2191356 KB
1626836 KB, 1968580 KB, 1500556 KB, 2191356 KB
1658072 KB, 1968580 KB, 1500556 KB, 2191356 KB
1635500 KB, 1968580 KB, 1545784 KB, 2191356 KB
1598436 KB, 1968580 KB, 1604868 KB, 2191356 KB
1604896 KB, 1968580 KB, 1625368 KB, 2191356 KB
1633408 KB, 1968580 KB, 1623832 KB, 2191356 KB
1664392 KB, 1968580 KB, 1623832 KB, 2191356 KB
1678284 KB, 1968580 KB, 1641384 KB, 2191356 KB
1655076 KB, 1968580 KB, 1690344 KB, 2191356 KB
1687264 KB, 1968580 KB, 1690344 KB, 2191356 KB
1644320 KB, 1968580 KB, 1754840 KB, 2191356 KB
1675828 KB, 1968580 KB, 1754840 KB, 2191356 KB
1631512 KB, 1968580 KB, 1821976 KB, 2191356 KB
1664768 KB, 1968580 KB, 1821720 KB, 2191356 KB
1694924 KB, 1968580 KB, 1821464 KB, 2191356 KB
1653144 KB, 1968580 KB, 1886576 KB, 2191356 KB
1683312 KB, 1968580 KB, 1886576 KB, 2191356 KB
1655032 KB, 1968580 KB, 1935260 KB, 2191356 KB
1687576 KB, 1968580 KB, 1935260 KB, 2191356 KB
1649624 KB, 1968580 KB, 1992796 KB, 2191356 KB
1680108 KB, 1968580 KB, 1992796 KB, 2191356 KB
1647960 KB, 1968580 KB, 2048856 KB, 2191356 KB
1679504 KB, 1968580 KB, 2048600 KB, 2191356 KB
1707580 KB, 1968580 KB, 2050384 KB, 2191356 KB
1726120 KB, 1968580 KB, 2060440 KB, 2191356 KB
1735980 KB, 1968580 KB, 2077828 KB, 2191356 KB
1751756 KB, 1968580 KB, 2092060 KB, 2191356 KB
1713776 KB, 1968580 KB, 2148056 KB, 2191356 KB
1744320 KB, 1968580 KB, 2147800 KB, 2191356 KB
1723852 KB, 1968580 KB, 2191352 KB, 2191356 KB
1756524 KB, 1968580 KB, 2191328 KB, 2191356 KB
1786728 KB, 1968580 KB, 2191292 KB, 2191356 KB
1816800 KB, 1968580 KB, 2191268 KB, 2191356 KB
1843620 KB, 1968580 KB, 2191228 KB, 2191356 KB
1857084 KB, 1968580 KB, 2191240 KB, 2191356 KB
1863612 KB, 1968580 KB, 862796 KB, 2191356 KB
562428 KB, 1968580 KB, 856396 KB, 2191356 KB
563424 KB, 1968580 KB, 856396 KB, 2191356 KB
564180 KB, 1968580 KB, 856396 KB, 2191356 KB
564576 KB, 1968580 KB, 856396 KB, 2191356 KB
566008 KB, 1968580 KB, 856396 KB, 2191356 KB
566504 KB, 1968580 KB, 856396 KB, 2191356 KB
568868 KB, 1968580 KB, 856396 KB, 2191356 KB
570380 KB, 1968580 KB, 856396 KB, 2191356 KB
571892 KB, 1968580 KB, 856396 KB, 2191356 KB
572892 KB, 1968580 KB, 856396 KB, 2191356 KB
572904 KB, 1968580 KB, 856140 KB, 2191356 KB
573408 KB, 1968580 KB, 855884 KB, 2191356 KB
